"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Brett Baty","NYM","108","389","9","7.5%","28.0%",".110",".280",".212",".275",".323",".266",".300","68","-0.7","-16.2","-2.2","-0.5",".598","13.4%","30","-17.1","-1.56","26.1%","64.1%","46.0%","41.7%","81.9%","71.1%","52.5%","0.1","37.0%","29.3%","89.5","6.6","7.6%","113.7","43.8%","249","31.0%",".236",".379","26123","683146"
"Jorge Mateo","BAL","116","350","7","6.3%","23.4%",".123",".267",".217",".267",".340",".265",".292","67","4.3","-9.5","2.2","0.5",".607","7.9%","27","-15.5","-0.13","33.9%","65.0%","49.4%","51.6%","85.1%","73.6%","50.0%","1.4","41.0%","25.0%","88.4","10.4","5.3%","112.4","38.4%","245","29.6%",".240",".371","17273","622761"
"Christian Vazquez","MIN","102","355","6","7.0%","23.1%",".095",".279",".223",".280",".318",".264",".265","65","-4.4","-19.1","16.6","1.0",".598","7.2%","27","-16.0","-2.57","33.2%","63.9%","48.5%","64.7%","81.2%","75.6%","49.8%","-2.4","34.0%","26.3%","86.7","10.0","3.2%","106.6","32.8%","247","28.5%",".221",".314","9774","543877"
"Brice Turang","MIL","137","448","6","8.5%","21.0%",".082",".268",".218",".285",".300",".262",".275","60","3.9","-18.1","4.7","0.2",".585","5.0%","33","-21.1","-1.56","26.6%","64.9%","47.1%","68.8%","87.0%","82.3%","53.7%","1.2","31.1%","31.8%","85.5","12.6","2.9%","108.3","26.0%","315","25.4%",".224",".321","22186","668930"
"Gavin Sheets","CHW","118","344","10","8.1%","19.2%",".129",".222",".203",".267",".331",".261",".265","61","-0.3","-16.4","-9.2","-1.4",".599","8.6%","26","-16.4","-0.57","30.4%","67.3%","47.4%","68.1%","87.1%","80.6%","46.2%","-0.2","46.2%","21.7%","88.1","16.9","5.2%","109.5","32.5%","249","24.3%",".208",".333","19901","657757"
"Javier Baez","DET","136","547","9","4.4%","22.9%",".104",".274",".222",".267",".325",".261",".284","61","2.3","-23.0","12.5","0.8",".593","7.3%","40","-26.2","-0.57","42.6%","68.2%","54.7%","51.5%","81.9%","69.4%","47.1%","0.3","40.2%","23.7%","88.0","9.3","5.1%","113.1","38.8%","389","30.1%",".238",".358","12979","595879"
"Brandon Crawford","SFG","94","320","7","8.8%","25.3%",".120",".241",".194",".273",".314",".260",".293","63","0.9","-13.7","7.1","0.4",".587","8.5%","24","-15.5","-0.40","32.1%","73.4%","52.2%","45.5%","83.3%","71.4%","48.7%","0.5","41.1%","22.7%","89.8","14.0","10.1%","110.4","43.0%","207","27.3%",".217",".374","5343","543063"
"Tim Anderson","CHW","123","524","1","5.0%","23.3%",".051",".323",".245",".286",".296",".260",".279","60","-1.0","-26.1","3.4","-0.5",".582","1.6%","38","-25.6","-4.06","34.8%","70.2%","53.5%","56.6%","85.7%","76.7%","52.7%","0.7","33.5%","27.9%","87.8","2.0","3.0%","109.6","39.1%","373","26.3%",".250",".330","15172","641313"
"Harold Castro","COL","99","270","1","3.3%","24.4%",".062",".332",".252",".275",".314",".258",".263","43","-0.8","-19.7","-5.1","-1.6",".589","1.8%","19","-13.5","-1.48","43.8%","69.3%","56.1%","52.7%","87.1%","73.3%","48.5%","-0.2","36.9%","27.2%","86.2","10.0","3.1%","106.1","28.7%","195","29.2%",".240",".337","14691","605612"
"Brenton Doyle","COL","126","431","10","5.1%","35.0%",".140",".295",".203",".250",".343",".257",".264","43","3.0","-27.6","21.6","0.9",".593","12.0%","31","-21.9","-2.38","31.7%","71.7%","52.0%","37.1%","79.0%","66.4%","50.9%","1.4","42.5%","23.6%","88.3","11.7","8.7%","111.0","35.0%","254","30.9%",".203",".349","25479","686668"
"Jacob Stallings","MIA","89","276","3","9.8%","24.3%",".095",".249",".191",".278",".286",".256",".261","57","-5.7","-20.5","3.3","-0.8",".565","4.7%","19","-14.2","-1.43","23.4%","56.7%","40.4%","49.2%","91.4%","79.5%","51.1%","-3.8","35.2%","29.1%","89.7","9.1","5.6%","106.8","40.2%","179","29.2%",".189",".296","13723","607732"
"Jake Alu","WSN","51","175","2","5.7%","24.0%",".063",".291",".226",".282",".289",".256",".284","56","0.3","-9.1","-0.7","-0.4",".571","7.1%","12","-9.1","-0.52","36.7%","62.4%","49.9%","62.0%","86.6%","77.8%","51.3%","-0.4","41.7%","23.3%","88.6","5.1","2.5%","105.7","33.3%","120","28.8%",".239",".338","25569","666906"
"Oswaldo Cabrera","NYY","115","330","5","7.6%","21.8%",".087",".260",".211",".275",".299",".256",".257","60","1.4","-14.3","-3.4","-0.6",".574","5.7%","23","-17.2","-0.86","27.7%","70.9%","50.1%","56.4%","86.9%","78.8%","51.8%","0.3","39.8%","25.5%","87.8","13.4","3.5%","106.8","32.5%","231","25.1%",".209",".300","21707","665828"
"Casey Schmitt","SFG","90","277","5","4.7%","23.5%",".119",".253",".206",".255",".324",".254",".282","59","-2.0","-16.0","0.9","-0.6",".580","6.8%","19","-14.8","-1.26","39.5%","69.7%","54.8%","54.0%","86.6%","75.1%","50.9%","-1.3","40.7%","25.3%","88.1","15.1","6.7%","111.6","34.0%","194","28.1%",".231",".356","27577","669477"
"Nick Fortes","MIA","108","323","6","5.3%","18.3%",".095",".234",".204",".263",".299",".251",".271","53","-1.5","-20.4","11.3","0.2",".562","6.2%","21","-18.2","-1.98","26.4%","61.8%","45.0%","70.4%","90.4%","84.8%","52.4%","1.6","45.8%","21.7%","88.2","13.9","3.8%","108.5","35.0%","240","25.4%",".215",".334","21538","663743"
"Jean Segura","MIA","85","326","3","6.7%","14.4%",".060",".251",".219",".277",".279",".250",".280","52","-2.2","-21.5","-2.2","-1.3",".556","4.5%","21","-18.6","-1.66","37.3%","64.6%","50.4%","69.7%","89.4%","81.9%","48.1%","-0.6","34.1%","25.9%","88.0","2.9","3.5%","114.0","38.8%","255","26.8%",".237",".335","5933","516416"
"Oscar Colas","CHW","75","263","5","4.6%","27.0%",".098",".281",".216",".257",".314",".249",".263","53","1.4","-13.5","-8.4","-1.3",".571","8.9%","17","-15.2","-2.22","41.3%","68.7%","53.8%","51.9%","82.5%","69.7%","45.5%","1.8","30.3%","32.0%","88.5","6.7","7.3%","114.2","39.9%","178","30.7%",".222",".338","30162","693049"
"Nick Ahmed","ARI","72","210","2","5.7%","24.8%",".091",".278",".212",".257",".303",".247",".264","51","-0.3","-13.1","5.8","0.0",".560","4.1%","13","-12.4","-1.62","33.2%","64.7%","49.5%","58.9%","81.9%","74.5%","51.8%","-1.5","43.2%","24.7%","85.2","12.8","2.7%","108.4","31.5%","146","30.9%",".225",".325","12147","605113"
"Oswald Peraza","NYY","52","191","2","6.8%","26.2%",".081",".256",".191",".267",".272",".246",".281","53","-0.3","-10.9","1.1","-0.3",".539","5.1%","12","-11.5","-0.80","27.6%","70.5%","49.4%","42.9%","81.0%","70.5%","50.8%","0.0","53.7%","14.6%","87.2","9.8","4.1%","110.6","28.5%","123","28.5%",".222",".330","22823","672724"
"Nick Allen","OAK","106","329","4","5.2%","15.8%",".066",".253",".221",".263",".287",".245",".247","55","-0.2","-17.9","5.5","-0.1",".550","4.9%","20","-20.2","-1.39","29.1%","66.6%","48.7%","62.4%","91.1%","82.9%","52.3%","-0.1","31.3%","29.3%","84.8","6.8","1.2%","107.1","26.6%","259","25.6%",".218",".283","22277","669397"
"Joey Wendle","MIA","112","318","2","4.1%","21.1%",".094",".264",".212",".248",".306",".242",".263","47","0.2","-20.7","1.6","-0.8",".554","3.3%","19","-20.2","-1.67","35.0%","59.4%","47.2%","60.2%","87.2%","77.2%","50.1%","0.5","30.9%","28.8%","89.2","3.8","3.4%","106.5","39.4%","236","30.5%",".231",".322","13853","621563"
"Lenyn Sosa","CHW","52","173","6","2.9%","23.1%",".146",".227",".201",".224",".348",".241",".297","47","-1.1","-12.0","-0.6","-0.7",".571","12.5%","10","-11.1","-1.37","41.5%","64.1%","52.9%","65.4%","85.6%","77.7%","50.2%","-0.3","32.0%","34.4%","89.4","14.1","7.8%","107.5","38.3%","128","28.9%",".253",".419","22896","672820"
"Oscar Gonzalez","CLE","54","180","2","2.8%","25.6%",".098",".278",".214",".239",".312",".239",".271","49","0.6","-10.5","-10.9","-1.5",".551","5.3%","10","-11.9","-1.70","48.7%","71.7%","59.0%","57.3%","83.6%","71.6%","44.7%","0.7","32.0%","28.1%","88.5","6.4","7.8%","113.0","40.6%","128","30.1%",".237",".360","20970","660757"
"Seby Zavala","- - -","73","193","7","6.2%","36.3%",".143",".230",".171",".230",".314",".239",".250","45","-1.3","-13.9","9.8","0.2",".545","17.5%","11","-12.8","-1.11","36.8%","69.7%","53.9%","40.7%","77.9%","65.7%","51.9%","-1.0","43.1%","18.4%","87.5","14.9","5.5%","109.8","36.7%","109","32.2%",".190",".310","18887","664874"
"Kolten Wong","- - -","87","250","4","7.2%","21.2%",".080",".218",".183",".256",".263",".236",".267","48","-0.4","-15.9","-1.8","-0.9",".519","5.9%","13","-17.1","-0.23","25.4%","67.9%","47.3%","52.9%","89.5%","80.0%","51.5%","-0.4","46.0%","25.9%","85.6","14.0","1.7%","107.9","25.9%","174","24.9%",".214",".295","12532","543939"
"Eric Haase","- - -","89","293","4","5.8%","27.6%",".080",".268",".201",".247",".281",".233",".255","42","-2.9","-23.2","-0.6","-1.4",".528","5.6%","15","-20.8","-1.30","37.3%","69.4%","54.0%","49.8%","79.5%","69.7%","52.2%","-1.3","43.6%","23.1%","87.1","13.4","4.6%","109.9","35.9%","195","30.1%",".218",".308","14111","606992"
"Austin Barnes","LAD","59","200","2","8.5%","21.5%",".062",".222",".180",".256",".242",".229",".272","41","-1.9","-16.5","1.8","-0.8",".498","4.5%","10","-14.8","-0.64","19.1%","62.6%","43.6%","55.4%","87.6%","81.4%","56.3%","-0.5","42.8%","22.5%","84.8","6.1","2.9%","105.5","25.4%","138","26.6%",".211",".302","12158","605131"
"Austin Hedges","- - -","82","212","1","5.2%","22.2%",".043",".236",".184",".234",".227",".209",".246","24","-0.3","-20.2","20.7","0.8",".461","1.9%","7","-19.2","-1.74","31.1%","70.3%","51.7%","51.4%","83.6%","74.4%","52.6%","0.1","41.1%","19.2%","87.2","15.4","0.7%","108.1","30.9%","152","27.5%",".208",".275","12976","595978"
