"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Danny Jansen","TOR","86","301","17","7.6%","20.6%",".246",".233",".228",".312",".474",".336",".317","116","0.8","6.4","3.4","2.0",".786","15.7%","41","4.5","0.57","24.3%","69.7%","46.7%","61.0%","85.9%","79.3%","49.4%","0.3","54.9%","19.4%","88.3","19.7","10.7%","109.0","36.9%","206","24.2%",".219",".418","16535","643376"
"Nick Castellanos","PHI","157","671","29","5.4%","27.6%",".204",".337",".272",".311",".476",".335",".323","109","-4.7","2.7","-15.9","1.0",".788","17.6%","91","9.0","0.75","39.9%","74.4%","56.2%","42.2%","80.8%","66.5%","47.4%","-3.8","47.9%","22.8%","88.9","14.4","10.3%","111.2","43.0%","447","30.1%",".259",".444","11737","592206"
"Josh Jung","TEX","122","515","23","5.8%","29.3%",".201",".340",".266",".315",".467",".334",".336","110","-2.9","3.4","4.5","2.5",".781","17.8%","70","6.8","-0.47","33.5%","69.7%","51.8%","51.1%","83.8%","73.3%","50.6%","-2.4","36.8%","23.4%","91.8","15.0","11.9%","110.0","47.1%","329","28.7%",".256",".476","26299","673962"
"Lane Thomas","WSN","157","682","28","5.3%","25.8%",".201",".325",".268",".315",".468",".334",".319","109","5.8","13.1","-9.2","2.7",".783","16.4%","92","8.8","1.55","28.1%","58.9%","43.6%","58.2%","88.8%","79.0%","50.4%","3.2","51.2%","19.2%","88.5","10.8","9.6%","111.4","40.5%","459","29.0%",".254",".433","16939","657041"
"Jesus Sanchez","MIA","125","402","14","9.5%","26.6%",".197",".321",".253",".327",".450",".334",".354","109","-2.0","2.2","-2.4","1.3",".777","20.9%","54","5.2","0.10","33.6%","67.1%","49.0%","53.8%","84.1%","72.9%","46.2%","-0.1","34.9%","32.2%","90.4","5.6","12.2%","114.8","46.3%","255","27.9%",".268",".475","19913","660821"
"Brandon Lowe","TBR","109","436","21","11.5%","27.3%",".212",".275",".231",".328",".443",".334",".341","117","1.6","10.5","2.9","2.8",".771","17.9%","59","5.6","1.16","31.3%","72.4%","51.6%","42.3%","82.9%","70.5%","49.5%","0.3","49.4%","14.6%","91.4","16.0","10.7%","110.7","47.5%","261","26.9%",".232",".449","18882","664040"
"Manny Machado","SDP","138","601","30","8.3%","18.1%",".204",".268",".258",".319",".462",".334",".332","114","-3.5","7.0","7.4","3.5",".782","15.3%","81","7.7","-0.31","27.7%","68.6%","49.3%","56.5%","85.1%","77.5%","52.7%","-0.7","38.4%","26.6%","91.0","15.0","10.5%","114.5","45.9%","440","25.7%",".251",".455","11493","592518"
"Freddy Fermin","KCR","70","235","9","5.5%","21.3%",".180",".323",".281",".321",".461",".333",".332","108","-2.2","0.0","7.1","1.5",".781","16.4%","32","2.9","-0.82","29.4%","77.7%","54.3%","52.7%","86.7%","77.8%","51.6%","-0.4","42.1%","24.6%","89.9","11.7","9.9%","106.8","42.7%","171","23.0%",".274",".452","21840","666023"
"Ryan Mountcastle","BAL","115","470","18","7.9%","22.8%",".182",".315",".270",".328",".452",".333",".357","114","0.9","9.0","-8.4","1.7",".779","15.1%","63","5.8","1.12","38.1%","73.1%","54.7%","57.8%","84.7%","74.8%","47.6%","2.0","30.7%","30.0%","91.4","12.0","12.1%","114.6","44.6%","323","26.7%",".272",".500","18373","663624"
"Trea Turner","PHI","155","691","26","6.5%","21.7%",".192",".310",".266",".320",".459",".333",".330","108","7.3","14.1","0.5","3.8",".778","13.5%","93","8.5","0.62","35.5%","72.9%","53.1%","48.7%","84.4%","71.8%","47.2%","2.7","39.6%","23.5%","89.9","13.0","8.4%","110.8","42.2%","490","27.4%",".266",".442","16252","607208"
"Patrick Wisdom","CHC","97","302","23","9.9%","36.8%",".295",".237",".205",".289",".500",".333",".339","109","0.3","3.8","-6.7","0.7",".789","27.7%","40","3.7","-0.70","24.7%","68.2%","46.7%","39.4%","80.0%","69.5%","50.8%","0.2","45.9%","17.0%","92.7","21.7","19.5%","114.4","54.7%","159","28.8%",".217",".495","13602","621550"
